,cluster,individual,value
878,4,34,0
879,4,35,0
880,4,36,0
881,4,37,1
882,4,38,0
883,4,39,0
884,4,40,0
885,4,41,13
886,4,42,0
887,4,43,0
888,4,44,14
889,4,45,0
890,4,46,0
891,4,47,0
892,4,48,0
893,4,49,0
894,4,50,7
895,4,51,15
896,4,52,0
897,4,53,16
898,4,54,0
899,4,55,0
900,4,56,0
901,4,57,0
902,4,58,13
903,4,59,0
904,4,60,0
905,4,61,0
906,4,62,0
907,4,63,14
908,4,64,0
909,4,65,0
910,4,66,0
911,4,67,10
912,4,68,0
913,4,69,15
914,4,70,0
915,4,71,0
916,4,72,16
917,4,73,0
918,4,74,0
919,4,75,0
920,4,76,0
921,4,77,0
922,4,78,0
923,4,79,0
924,4,80,0
925,4,81,0
926,4,82,0
927,4,83,0
928,4,84,0
929,4,85,0
930,4,86,0
931,4,87,0
932,4,88,0
933,4,89,0
934,4,90,0
935,4,91,1
936,4,92,0
937,4,93,0
938,4,94,0
939,4,95,0
940,4,96,0
941,4,97,9
942,4,98,2
943,4,99,0
944,4,100,0
945,4,101,0
946,4,102,0
947,4,103,0
948,4,104,0
949,4,105,0
950,4,106,0
951,4,107,20
952,4,108,0
953,4,109,0
954,4,110,0
955,4,111,0
956,4,112,0
957,4,113,0
958,4,114,12
959,4,115,0
960,4,116,0
961,4,117,0
962,4,118,0
963,4,119,0
964,4,120,0
965,4,121,0
966,4,122,0
967,4,123,0
968,4,124,0
969,4,125,24
970,4,126,0
971,4,127,0
972,4,128,4
973,4,129,0
974,4,130,0
975,4,131,0
976,4,132,0
977,4,133,0
978,4,134,0
979,4,135,0
980,4,136,0
981,4,137,0
982,4,138,0
983,4,139,0
984,4,140,0
985,4,141,12
986,4,142,0
987,4,143,0
988,4,144,0
989,4,145,0
990,4,146,18
991,4,147,0
992,4,148,0
993,4,149,0
994,4,150,0
995,4,151,0
996,4,152,0
997,4,153,0
998,4,154,0
999,4,155,0
1000,4,156,0
1001,4,157,4
1002,4,158,0
1003,4,159,0
1004,4,160,0
1005,4,161,0
1006,4,162,0
1007,4,163,0
1008,4,164,20
1009,4,165,0
1010,4,166,0
1011,4,167,0
1012,4,168,18
1013,4,169,0
1014,4,170,0
1015,4,171,0
1016,4,172,13
1017,4,173,0
1018,4,174,0
1019,4,175,0
1020,4,176,5
1021,4,177,0
1022,4,178,0
1023,4,179,0
1024,4,180,0
1025,4,181,0
1026,4,182,0
1027,4,183,0
1028,4,184,0
1029,4,185,0
1030,4,186,0
1031,4,187,0
1032,4,188,0
1033,4,189,0
1034,4,190,0
1035,4,191,0
1036,4,192,15
1037,4,193,0
1038,4,194,0
1039,4,195,0
1040,4,196,0
1041,4,197,0
1042,4,198,0
1043,4,199,0
1044,4,200,0
1045,4,201,0
1046,4,202,0
1047,4,203,0
1048,4,204,0
1049,4,205,2
1050,4,206,19
1051,4,207,0
1052,4,208,0
1053,4,209,0
1054,4,210,0
1055,5,0,16
1056,5,1,0
1057,5,2,6
1058,5,3,0
1059,5,4,0
1060,5,5,0
1061,5,6,0
1062,5,7,6
1063,5,8,14
1064,5,9,0
1065,5,10,1
1066,5,11,0
1067,5,12,0
1068,5,13,0
1069,5,14,14
1070,5,15,0
1071,5,16,0
1072,5,17,3
1073,5,18,0
1074,5,19,0
1075,5,20,0
1076,5,21,11
1077,5,22,7
1078,5,23,0
1079,5,24,0
1080,5,25,0
1081,5,26,0
1082,5,27,0
1083,5,28,0
1084,5,29,0
1085,5,30,0
1086,5,31,0
1087,5,32,0
1088,5,33,0
1089,5,34,0
1090,5,35,0
1091,5,36,0
1092,5,37,16
1093,5,38,20
1094,5,39,0
1095,5,40,0
1096,5,41,0
1097,5,42,0
1098,5,43,3
1099,5,44,5
1100,5,45,0
1101,5,46,0
1102,5,47,0
1103,5,48,0
1104,5,49,0
1105,5,50,0
1106,5,51,0
1107,5,52,12
1108,5,53,8
1109,5,54,0
1110,5,55,0
1111,5,56,17
1112,5,57,8
1113,5,58,0
1114,5,59,0
1115,5,60,0
1116,5,61,0
1117,5,62,0
1118,5,63,8
1119,5,64,0
1120,5,65,0
1121,5,66,0
1122,5,67,30
1123,5,68,0
1124,5,69,0
1125,5,70,0
1126,5,71,20
1127,5,72,0
1128,5,73,0
1129,5,74,0
1130,5,75,0
1131,5,76,0
1132,5,77,0
1133,5,78,0
1134,5,79,0
1135,5,80,0
1136,5,81,0
1137,5,82,0
1138,5,83,0
1139,5,84,18
1140,5,85,0
1141,5,86,0
1142,5,87,8
1143,5,88,0
1144,5,89,0
1145,5,90,0
1146,5,91,0
1147,5,92,0
1148,5,93,0
1149,5,94,0
1150,5,95,0
1151,5,96,0
1152,5,97,0
1153,5,98,0
1154,5,99,0
1155,5,100,0
1156,5,101,1
1157,5,102,0
1158,5,103,0
1159,5,104,0
1160,5,105,0
1161,5,106,11
1162,5,107,0
1163,5,108,4
1164,5,109,14
1165,5,110,0
1166,5,111,0
1167,5,112,0
1168,5,113,0
1169,5,114,0
1170,5,115,0
1171,5,116,0
1172,5,117,7
1173,5,118,0
1174,5,119,15
1175,5,120,10
1176,5,121,0
1177,5,122,0
1178,5,123,0
1179,5,124,0
1180,5,125,0
1181,5,126,0
1182,5,127,0
1183,5,128,0
1184,5,129,0
1185,5,130,0
1186,5,131,0
1187,5,132,0
1188,5,133,0
1189,5,134,0
1190,5,135,10
1191,5,136,0
1192,5,137,3
1193,5,138,0
1194,5,139,0
1195,5,140,0
1196,5,141,0
1197,5,142,0
1198,5,143,0
1199,5,144,0
1200,5,145,0
1201,5,146,0
1202,5,147,0
1203,5,148,0
1204,5,149,0
1205,5,150,0
1206,5,151,0
1207,5,152,0
1208,5,153,0
1209,5,154,0
1210,5,155,0
1211,5,156,0
1212,5,157,0
1213,5,158,0
1214,5,159,18
1215,5,160,13
1216,5,161,0
1217,5,162,0
1218,5,163,0
1219,5,164,6
1220,5,165,18
1221,5,166,0
1222,5,167,0
1223,5,168,0
1224,5,169,0
1225,5,170,0
1226,5,171,0
1227,5,172,10
1228,5,173,0
1229,5,174,0
1230,5,175,18
1231,5,176,0
1232,5,177,0
1233,5,178,0
1234,5,179,7
1235,5,180,0
1236,5,181,0
1237,5,182,0
1238,5,183,7
1239,5,184,13
1240,5,185,9
1241,5,186,0
1242,5,187,0
1243,5,188,8
1244,5,189,0
1245,5,190,0
1246,5,191,0
1247,5,192,0
1248,5,193,0
1249,5,194,0
1250,5,195,0
1251,5,196,0
1252,5,197,0
1253,5,198,0
1254,5,199,10
1255,5,200,0
1256,5,201,0
1257,5,202,5
1258,5,203,3
1259,5,204,0
1260,5,205,7
1261,5,206,0
1262,5,207,14
1263,5,208,0
1264,5,209,21
1265,5,210,0
1266,6,0,0
1267,6,1,0
1268,6,2,0
1269,6,3,0
1270,6,4,13
1271,6,5,0
1272,6,6,4
1273,6,7,0
1274,6,8,0
1275,6,9,0
1276,6,10,0
1277,6,11,0
1278,6,12,0
1279,6,13,0
1280,6,14,0
1281,6,15,0
1282,6,16,0
1283,6,17,0
1284,6,18,0
1285,6,19,0
1286,6,20,0
1287,6,21,0
1288,6,22,0
1289,6,23,0
1290,6,24,0
1291,6,25,0
1292,6,26,0
1293,6,27,0
1294,6,28,0
1295,6,29,0
1296,6,30,0
1297,6,31,12
1298,6,32,0
1299,6,33,0
1300,6,34,0
1301,6,35,8
1302,6,36,0
1303,6,37,0
1304,6,38,0
1305,6,39,0
1306,6,40,0
1307,6,41,6
1308,6,42,9
1309,6,43,17
1310,6,44,0
1311,6,45,18
1312,6,46,0
1313,6,47,0
1314,6,48,0
1315,6,49,10
1316,6,50,0
1317,6,51,0
1318,6,52,0
1319,6,53,0
1320,6,54,0
1321,6,55,11
1322,6,56,0
1323,6,57,13
1324,6,58,6
1325,6,59,0
1326,6,60,0
1327,6,61,3
1328,6,62,0
1329,6,63,0
1330,6,64,0
1331,6,65,0
1332,6,66,0
1333,6,67,0
1334,6,68,0
1335,6,69,0
1336,6,70,13
1337,6,71,0
1338,6,72,0
1339,6,73,0
1340,6,74,0
1341,6,75,0
1342,6,76,0
1343,6,77,0
1344,6,78,0
1345,6,79,10
1346,6,80,0
1347,6,81,0
1348,6,82,7
1349,6,83,0
1350,6,84,0
1351,6,85,10
1352,6,86,0
1353,6,87,6
1354,6,88,16
1355,6,89,0
1356,6,90,7
1357,6,91,0
1358,6,92,7
1359,6,93,0
1360,6,94,0
1361,6,95,0
1362,6,96,0
1363,6,97,0
1364,6,98,0
1365,6,99,0
1366,6,100,12
1367,6,101,0
1368,6,102,0
1369,6,103,0
1370,6,104,2
1371,6,105,0
1372,6,106,0
1373,6,107,0
1374,6,108,0
1375,6,109,0
1376,6,110,0
1377,6,111,0
1378,6,112,0
1379,6,113,0
1380,6,114,0
1381,6,115,14
1382,6,116,0
1383,6,117,0
1384,6,118,17
1385,6,119,0
1386,6,120,0
1387,6,121,0
1388,6,122,0
1389,6,123,0
1390,6,124,14
1391,6,125,0
1392,6,126,0
1393,6,127,0
1394,6,128,0
1395,6,129,0
1396,6,130,0
1397,6,131,0
1398,6,132,0
1399,6,133,5
1400,6,134,11
1401,6,135,0
1402,6,136,0
1403,6,137,0
1404,6,138,0
1405,6,139,0
1406,6,140,0
1407,6,141,0
1408,6,142,0
1409,6,143,0
1410,6,144,13
1411,6,145,0
1412,6,146,0
1413,6,147,0
1414,6,148,0
1415,6,149,0
1416,6,150,0
1417,6,151,6
1418,6,152,0
1419,6,153,17
1420,6,154,0
1421,6,155,1
1422,6,156,0
1423,6,157,0
1424,6,158,0
1425,6,159,0
1426,6,160,0
1427,6,161,0
1428,6,162,4
1429,6,163,0
1430,6,164,8
1431,6,165,0
1432,6,166,0
1433,6,167,0
1434,6,168,0
1435,6,169,0
1436,6,170,0
1437,6,171,0
1438,6,172,0
1439,6,173,0
1440,6,174,0
1441,6,175,0
1442,6,176,0
1443,6,177,0
1444,6,178,20
1445,6,179,0
1446,6,180,0
1447,6,181,0
1448,6,182,0
1449,6,183,0
1450,6,184,0
1451,6,185,0
1452,6,186,1
1453,6,187,0
1454,6,188,0
1455,6,189,0
1456,6,190,4
1457,6,191,0
1458,6,192,0
1459,6,193,10
1460,6,194,0
1461,6,195,0
1462,6,196,0
1463,6,197,0
1464,6,198,0
1465,6,199,0
1466,6,200,9
1467,6,201,0
1468,6,202,0
1469,6,203,0
1470,6,204,0
1471,6,205,0
1472,6,206,0
1473,6,207,0
1474,6,208,0
1475,6,209,0
1476,6,210,0
1477,7,0,0
1478,7,1,0
1479,7,2,0
1480,7,3,11
1481,7,4,0
1482,7,5,0
1483,7,6,12
1484,7,7,0
1485,7,8,0
1486,7,9,0
1487,7,10,0
1488,7,11,0
1489,7,12,0
1490,7,13,0
1491,7,14,0
1492,7,15,0
1493,7,16,0
1494,7,17,0
1495,7,18,0
1496,7,19,12
1497,7,20,0
1498,7,21,0
1499,7,22,0
1500,7,23,0
1501,7,24,0
1502,7,25,0
1503,7,26,0
1504,7,27,11
1505,7,28,0
1506,7,29,0
1507,7,30,0
1508,7,31,0
1509,7,32,8
1510,7,33,0
1511,7,34,0
1512,7,35,0
1513,7,36,0
1514,7,37,0
1515,7,38,0
1516,7,39,0
1517,7,40,0
1518,7,41,0
1519,7,42,0
1520,7,43,8
1521,7,44,0
1522,7,45,0
1523,7,46,0
1524,7,47,10
1525,7,48,8
1526,7,49,0
1527,7,50,0
1528,7,51,14
1529,7,52,0
1530,7,53,0
1531,7,54,0
1532,7,55,0
1533,7,56,0
1534,7,57,0
1535,7,58,0
1536,7,59,0
1537,7,60,7
1538,7,61,0
1539,7,62,0
1540,7,63,0
1541,7,64,0
1542,7,65,0
1543,7,66,0
1544,7,67,9
1545,7,68,0
1546,7,69,0
1547,7,70,0
1548,7,71,0
1549,7,72,0
1550,7,73,0
1551,7,74,0
1552,7,75,0
1553,7,76,0
1554,7,77,0
1555,7,78,0
1556,7,79,1
1557,7,80,0
1558,7,81,0
1559,7,82,0
1560,7,83,0
1561,7,84,0
1562,7,85,0
1563,7,86,0
1564,7,87,0
1565,7,88,0
1566,7,89,0
1567,7,90,0
1568,7,91,0
1569,7,92,0
1570,7,93,0
1571,7,94,0
1572,7,95,4
1573,7,96,10
1574,7,97,0
1575,7,98,0
1576,7,99,0
1577,7,100,0
1578,7,101,0
1579,7,102,0
1580,7,103,0
1581,7,104,0
1582,7,105,4
1583,7,106,0
1584,7,107,0
1585,7,108,0
1586,7,109,0
1587,7,110,0
1588,7,111,0
1589,7,112,0
1590,7,113,18
1591,7,114,0
1592,7,115,0
1593,7,116,21
1594,7,117,0
1595,7,118,0
1596,7,119,0
1597,7,120,0
1598,7,121,0
1599,7,122,0
1600,7,123,0
1601,7,124,0
1602,7,125,0
1603,7,126,0
1604,7,127,0
1605,7,128,0
1606,7,129,0
1607,7,130,0
1608,7,131,8
1609,7,132,0
1610,7,133,0
1611,7,134,0
1612,7,135,0
1613,7,136,14
1614,7,137,0
1615,7,138,8
1616,7,139,0
1617,7,140,2
1618,7,141,0
1619,7,142,17
1620,7,143,0
1621,7,144,0
1622,7,145,6
1623,7,146,0
1624,7,147,0
1625,7,148,0
1626,7,149,0
1627,7,150,0
1628,7,151,13
1629,7,152,0
1630,7,153,0
1631,7,154,0
1632,7,155,24
1633,7,156,19
1634,7,157,0
1635,7,158,0
1636,7,159,0
1637,7,160,21
1638,7,161,4
1639,7,162,0
1640,7,163,0
1641,7,164,0
1642,7,165,9
1643,7,166,0
1644,7,167,0
1645,7,168,0
1646,7,169,3
1647,7,170,0
1648,7,171,15
1649,7,172,0
1650,7,173,9
1651,7,174,0
1652,7,175,0
1653,7,176,19
1654,7,177,0
1655,7,178,0
1656,7,179,0
1657,7,180,0
1658,7,181,0
1659,7,182,0
1660,7,183,0
1661,7,184,0
1662,7,185,0
1663,7,186,0
